Timestamp,Milliseconds,X,Y,Z,cos,headingAccuracy
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398055,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398056,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398101,0.164404,-0.072973,-0.703846,0.687201,0.0
2019-05-13 09:08:35,1398201,0.164404,-0.072973,-0.703846,0.687201,0.0
